GRCh38_ENSG00000049247	GRCh38_UTS2
GRCh38_ENSG00000049249	GRCh38_TNFRSF9
GRCh38_ENSG00000116288	GRCh38_PARK7
GRCh38_ENSG00000116285	GRCh38_ERRFI1
GRCh38_ENSG00000162426	GRCh38_SLC45A1
GRCh38_ENSG00000142599	GRCh38_RERE
GRCh38_ENSG00000074800	GRCh38_ENO1
GRCh38_ENSG00000131686	GRCh38_CA6
GRCh38_ENSG00000197241	GRCh38_SLC2A7
GRCh38_ENSG00000142583	GRCh38_SLC2A5
GRCh38_ENSG00000180758	GRCh38_GPR157
GRCh38_ENSG00000049239	GRCh38_H6PD
GRCh38_ENSG00000171621	GRCh38_SPSB1
GRCh38_ENSG00000171612	GRCh38_SLC25A33
GRCh38_ENSG00000188807	GRCh38_TMEM201
GRCh38_ENSG00000171608	GRCh38_PIK3CD
GRCh38_ENSG00000171603	GRCh38_CLSTN1
GRCh38_ENSG00000178585	GRCh38_CTNNBIP1
GRCh38_ENSG00000162441	GRCh38_LZIC
GRCh38_ENSG00000173614	GRCh38_NMNAT1
GRCh38_ENSG00000162444	GRCh38_RBP7
GRCh38_ENSG00000130939	GRCh38_UBE4B
GRCh38_ENSG00000054523	GRCh38_KIF1B
GRCh38_ENSG00000142657	GRCh38_PGD
GRCh38_ENSG00000251503	GRCh38_CENPS-CORT
GRCh38_ENSG00000175279	GRCh38_CENPS
GRCh38_ENSG00000241563	GRCh38_CORT
GRCh38_ENSG00000160049	GRCh38_DFFA
GRCh38_ENSG00000142655	GRCh38_PEX14
GRCh38_ENSG00000130940	GRCh38_CASZ1
GRCh38_ENSG00000175262	GRCh38_C1orf127
GRCh38_ENSG00000120948	GRCh38_TARDBP
GRCh38_ENSG00000277726	GRCh38_AL109811.3
GRCh38_ENSG00000009724	GRCh38_MASP2
GRCh38_ENSG00000116649	GRCh38_SRM
GRCh38_ENSG00000171824	GRCh38_EXOSC10
GRCh38_ENSG00000198793	GRCh38_MTOR
GRCh38_ENSG00000171819	GRCh38_ANGPTL7
GRCh38_ENSG00000120942	GRCh38_UBIAD1
GRCh38_ENSG00000204624	GRCh38_DISP3
GRCh38_ENSG00000116661	GRCh38_FBXO2
GRCh38_ENSG00000132879	GRCh38_FBXO44
GRCh38_ENSG00000116663	GRCh38_FBXO6
GRCh38_ENSG00000116670	GRCh38_MAD2L2
GRCh38_ENSG00000162490	GRCh38_DRAXIN
GRCh38_ENSG00000177674	GRCh38_AGTRAP
GRCh38_ENSG00000215910	GRCh38_C1orf167
GRCh38_ENSG00000177000	GRCh38_MTHFR
GRCh38_ENSG00000011021	GRCh38_CLCN6
GRCh38_ENSG00000175206	GRCh38_NPPA
GRCh38_ENSG00000120937	GRCh38_NPPB
GRCh38_ENSG00000116685	GRCh38_KIAA2013
GRCh38_ENSG00000083444	GRCh38_PLOD1
GRCh38_ENSG00000116688	GRCh38_MFN2
GRCh38_ENSG00000116691	GRCh38_MIIP
GRCh38_ENSG00000120949	GRCh38_TNFRSF8
GRCh38_ENSG00000028137	GRCh38_TNFRSF1B
GRCh38_ENSG00000048707	GRCh38_VPS13D
GRCh38_ENSG00000162496	GRCh38_DHRS3
GRCh38_ENSG00000204518	GRCh38_AADACL4
GRCh38_ENSG00000188984	GRCh38_AADACL3
GRCh38_ENSG00000157330	GRCh38_C1orf158
GRCh38_ENSG00000116726	GRCh38_PRAMEF12
GRCh38_ENSG00000116721	GRCh38_PRAMEF1
GRCh38_ENSG00000239810	GRCh38_PRAMEF11
GRCh38_ENSG00000179172	GRCh38_HNRNPCL1
GRCh38_ENSG00000120952	GRCh38_PRAMEF2
GRCh38_ENSG00000243073	GRCh38_PRAMEF4
GRCh38_ENSG00000187545	GRCh38_PRAMEF10
GRCh38_ENSG00000204510	GRCh38_PRAMEF7
GRCh38_ENSG00000232423	GRCh38_PRAMEF6
GRCh38_ENSG00000274764	GRCh38_PRAMEF27
GRCh38_ENSG00000277058	GRCh38_HNRNPCL3
GRCh38_ENSG00000229571	GRCh38_PRAMEF25
GRCh38_ENSG00000275774	GRCh38_HNRNPCL2
GRCh38_ENSG00000280267	GRCh38_PRAMEF26
GRCh38_ENSG00000179412	GRCh38_HNRNPCL4
GRCh38_ENSG00000204505	GRCh38_PRAMEF9
GRCh38_ENSG00000279169	GRCh38_PRAMEF13
GRCh38_ENSG00000279804	GRCh38_PRAMEF18
GRCh38_ENSG00000270601	GRCh38_PRAMEF5
GRCh38_ENSG00000182330	GRCh38_PRAMEF8
GRCh38_ENSG00000237700	GRCh38_PRAMEF33
GRCh38_ENSG00000204501	GRCh38_PRAMEF15
GRCh38_ENSG00000204481	GRCh38_PRAMEF14
GRCh38_ENSG00000204480	GRCh38_PRAMEF19
GRCh38_ENSG00000204479	GRCh38_PRAMEF17
GRCh38_ENSG00000204478	GRCh38_PRAMEF20
GRCh38_ENSG00000162494	GRCh38_LRRC38
GRCh38_ENSG00000162493	GRCh38_PDPN
GRCh38_ENSG00000116731	GRCh38_PRDM2
GRCh38_ENSG00000189337	GRCh38_KAZN
GRCh38_ENSG00000171729	GRCh38_TMEM51
GRCh38_ENSG00000142621	GRCh38_FHAD1
GRCh38_ENSG00000142634	GRCh38_EFHD2
GRCh38_ENSG00000162438	GRCh38_CTRC
GRCh38_ENSG00000142615	GRCh38_CELA2A
GRCh38_ENSG00000215704	GRCh38_CELA2B
GRCh38_ENSG00000132906	GRCh38_CASP9
GRCh38_ENSG00000116138	GRCh38_DNAJC16
GRCh38_ENSG00000116771	GRCh38_AGMAT
GRCh38_ENSG00000197312	GRCh38_DDI2
GRCh38_ENSG00000215695	GRCh38_RSC1A1
GRCh38_ENSG00000116786	GRCh38_PLEKHM2
GRCh38_ENSG00000162461	GRCh38_SLC25A34
GRCh38_ENSG00000162460	GRCh38_TMEM82
GRCh38_ENSG00000162458	GRCh38_FBLIM1
GRCh38_ENSG00000233954	GRCh38_UQCRHL
GRCh38_ENSG00000065526	GRCh38_SPEN
GRCh38_ENSG00000116809	GRCh38_ZBTB17
GRCh38_ENSG00000183888	GRCh38_SRARP
GRCh38_ENSG00000173641	GRCh38_HSPB7
GRCh38_ENSG00000186510	GRCh38_CLCNKA
GRCh38_ENSG00000184908	GRCh38_CLCNKB
GRCh38_ENSG00000185519	GRCh38_FAM131C
GRCh38_ENSG00000142627	GRCh38_EPHA2
GRCh38_ENSG00000142632	GRCh38_ARHGEF19
GRCh38_ENSG00000132881	GRCh38_CPLANE2
GRCh38_ENSG00000037637	GRCh38_FBXO42
GRCh38_ENSG00000055070	GRCh38_SZRD1
GRCh38_ENSG00000187144	GRCh38_SPATA21
GRCh38_ENSG00000157191	GRCh38_NECAP2
GRCh38_ENSG00000219481	GRCh38_NBPF1
GRCh38_ENSG00000058453	GRCh38_CROCC
GRCh38_ENSG00000117122	GRCh38_MFAP2
GRCh38_ENSG00000159363	GRCh38_ATP13A2
GRCh38_ENSG00000117118	GRCh38_SDHB
GRCh38_ENSG00000117115	GRCh38_PADI2
